ID,LOCUS_OF_CONTROL,SELF_CONCEPT,MOTIVATION,READ,WRITE,MATH,SCIENCE,FEMALE
1,0.2899999917,0.8799999952,0.6700000167,33.599998474,43.700000763,40.200000763,39,1
2,-0.419999987,0.0299999993,0.3300000131,46.900001526,35.900001526,41.900001526,36.299999237,0
3,0.7099999785,0.0299999993,0.6700000167,41.599998474,59.299999237,41.900001526,44.400001526,1
4,0.0599999987,0.0299999993,0,38.900001526,41.099998474,32.700000763,41.700000763,1
5,0.2199999988,-0.280000001,0,36.299999237,48.900001526,39.5,41.700000763,1
6,0.4600000083,0.0299999993,0,49.5,46.299999237,46.200000763,41.700000763,0
7,0.4399999976,-0.469999999,0.3300000131,62.700000763,64.5,48,63.400001526,0
8,0.6800000072,0.25,1,44.200000763,51.5,36.900001526,49.799999237,1
9,0.0599999987,0.5600000024,0.3300000131,46.900001526,41.099998474,45.299999237,47.099998474,0
10,0.0500000007,0.150000006,1,44.200000763,49.5,40.5,39,1
11,0.25,0.3400000036,1,49.5,61.900001526,42.900001526,41.700000763,1
12,0.0599999987,-0.589999974,0,44.200000763,41.099998474,59.799999237,44.400001526,0
13,-1.100000024,0.0299999993,0,46.900001526,40.400001526,42.799999237,45,0
14,0.5199999809,-0.589999974,0.6700000167,41.599998474,59.299999237,38.599998474,36.299999237,1
15,-1.279999971,1.1900000572,1,41.599998474,41.099998474,45.900001526,44.400001526,0
16,0.0599999987,0.0299999993,1,46.900001526,41.099998474,46.200000763,39.599998474,1
17,0.2599999905,0.0299999993,1,60.099998474,64.5,55.700000763,63.400001526,1
18,0.2099999934,0.9399999976,0,38.900001526,48.900001526,41.799999237,58.5,0
19,0.0599999987,0.0299999993,1,57.400001526,54.099998474,58.900001526,47.099998474,0
20,0.2800000012,0.0299999993,1,73.300003052,64.5,68,63.400001526,0
21,-0.439999998,-0.839999974,0.3300000131,46.900001526,46.299999237,45.900001526,37.900001526,0
22,-0.430000007,0.1299999952,0.3300000131,38.900001526,44.299999237,51.599998474,43.900001526,1
23,-0.219999999,0.3199999928,0.3300000131,35.200000763,38.5,39.900001526,34.700000763,1
24,0.7300000191,-1.419999957,0.3300000131,38.900001526,41.099998474,41,36.299999237,1
25,0.2599999905,0.0299999993,0.3300000131,48.400001526,48.900001526,52.200000763,43.900001526,0
26,1.1200000048,-0.74000001,0.6700000167,31,41.099998474,36,36.900001526,1
27,0.4600000083,0.5899999738,1,52.099998474,62.5,53.599998474,56.299999237,1
28,-0.600000024,-0.469999999,0.6700000167,46.900001526,54.099998474,49,52.599998474,1
29,-0.899999976,0.0299999993,0.6700000167,36.299999237,44.299999237,36.099998474,33.599998474,1
30,0.3100000024,1.1900000572,1,46.900001526,44.299999237,41.900001526,39,1
31,-0.209999993,-1.379999995,0,34.200000763,46.299999237,44.5,39,0
32,0.6899999976,0.3400000036,1,52.099998474,56.700000763,53.400001526,60.700000763,1
33,-0.189999998,-1.669999957,0,42.099998474,39.799999237,42.200000763,38.5,1
34,-1.779999971,0.5600000024,0.3300000131,37.299999237,43.700000763,45.400001526,39,0
35,0.3000000119,0.5600000024,1,44.200000763,33.299999237,37.700000763,30.899999619,0
36,1.3600000143,0.4399999976,0.6700000167,70.699996948,58,65.400001526,63.400001526,0
37,-1.049999952,-1.649999976,0,46.900001526,46.299999237,38.599998474,47.099998474,1
38,0.2899999917,0.3899999857,0.3300000131,41.599998474,33.299999237,37.599998474,28.200000763,0
39,-0.829999983,0.1299999952,1,41.599998474,35.900001526,36.700000763,36.299999237,0
40,0.2099999934,-0.280000001,0.6700000167,46.900001526,41.099998474,53.599998474,41.700000763,0
41,-0.029999999,0.6299999952,0.6700000167,52.099998474,54.099998474,48.200000763,55.299999237,0
42,0.0299999993,0.2800000012,0.3300000131,52.099998474,54.099998474,52,55.299999237,0
43,-0.829999983,1.1900000572,0.6700000167,38.900001526,38.5,44.400001526,26,0
44,0.2199999988,-0.75999999,1,31,41.099998474,49.200000763,33.599998474,1
45,1.1599999666,0.3199999928,1,60.099998474,54.099998474,48.599998474,58,0
46,-0.219999999,-1.340000033,0.6700000167,46.900001526,31.299999237,43.599998474,36.299999237,0
47,-0.180000007,0.150000006,0,38.900001526,28.100000381,36,36.299999237,0
48,0.0199999996,0.0299999993,0.3300000131,41.599998474,35.900001526,37.700000763,41.700000763,1
49,-1.059999943,0.0299999993,0.6700000167,46.900001526,56.700000763,48,44.400001526,1
50,-1.330000043,0.0299999993,1,41.599998474,48.900001526,33.700000763,44.400001526,0
51,-1.549999952,0.0299999993,0,36.299999237,41.099998474,43.5,33.599998474,0
52,-1.580000043,0.5600000024,0.6700000167,49.5,33.299999237,48.700000763,44.400001526,0
53,0.4699999988,-0.090000004,0.3300000131,33.599998474,33.900001526,38.799999237,39.599998474,1
54,0.4600000083,0.0299999993,0.6700000167,54.799999237,54.700000763,56.900001526,58,0
55,-1.779999971,0.5600000024,1,28.299999237,46.299999237,42.799999237,44.400001526,1
56,-0.839999974,-1.090000033,0.3300000131,41.599998474,41.700000763,45.099998474,36.299999237,0
57,-0.889999986,-0.180000007,0.6700000167,44.200000763,43.700000763,44.5,41.700000763,1
58,-0.680000007,-0.25999999,0,60.099998474,51.5,56.799999237,60.700000763,0
59,-0.600000024,0.3199999928,1,38.900001526,56.700000763,41.200000763,33.599998474,1
60,-0.589999974,1.1900000572,0.6700000167,36.299999237,36.5,35.099998474,33.599998474,0
61,-0.039999999,0.6499999762,1,44.200000763,44.299999237,61.099998474,49.799999237,0
62,0.5199999809,-0.280000001,0.6700000167,38.900001526,41.700000763,33.700000763,30.899999619,1
63,-0.340000004,0.5899999738,1,38.900001526,33.900001526,35.099998474,44.400001526,1
64,-0.439999998,0.0299999993,0.3300000131,41.599998474,38.5,38.700000763,56.299999237,0
65,-0.209999993,0.0299999993,1,41.599998474,43.700000763,51.099998474,49.799999237,0
66,0.3199999928,-1.169999957,0.3300000131,52.099998474,54.099998474,58.099998474,47.099998474,1
67,-0.709999979,-2.289999962,0.3300000131,65.400001526,64.5,63.700000763,58,1
68,0.4499999881,0.0299999993,0.6700000167,41.599998474,25.5,44.299999237,36.299999237,0
69,0.7099999785,0.0299999993,1,46.900001526,61.900001526,46.200000763,60.700000763,0
70,0.0599999987,0.4399999976,0.6700000167,52.099998474,61.900001526,66.300003052,47.099998474,0
71,0.0599999987,0.2800000012,1,44.200000763,54.099998474,47.099998474,58,1
72,0.9100000262,0.3400000036,1,52.099998474,54.099998474,58.099998474,55.799999237,0
73,-1.090000033,0.0299999993,0.3300000131,46.900001526,43.700000763,41.900001526,41.700000763,1
74,0.0199999996,0.0299999993,0.6700000167,65.400001526,56.700000763,62.299999237,58.5,1
75,-1.049999952,0.2800000012,0.6700000167,62.700000763,64.5,66.300003052,58,0
76,0.1099999994,-1.419999957,1,60.099998474,59.299999237,62.099998474,60.700000763,1
77,0.8899999857,0.3199999928,0.6700000167,46.900001526,44.299999237,48.700000763,53.099998474,0
78,-0.449999988,-0.639999986,0.3300000131,65.400001526,56.700000763,55.200000763,52.599998474,0
79,0.4600000083,-0.300000012,1,53.200000763,60.599998474,61.200000763,56.900001526,0
80,0.4600000083,-1.169999957,0,68,62.5,65.400001526,60.700000763,1
81,0.2800000012,0.9399999976,1,54.799999237,56,43.5,49.799999237,1
82,0.0599999987,0.8999999762,0.6700000167,38.900001526,52.799999237,54.400001526,49.799999237,1
83,0.0599999987,0.9399999976,1,52.099998474,51.5,57.900001526,60.700000763,0
84,-0.170000002,0.3100000024,1,65.400001526,67.099998474,75.5,71.5,0
85,-0.379999995,0.0299999993,0,52.099998474,43.700000763,49.400001526,55.299999237,0
86,0.2300000042,-0.600000024,1,57.400001526,67.099998474,68,59.099998474,1
87,1.3600000143,0.5899999738,1,62.700000763,67.099998474,69.599998474,68.800003052,0
88,-0.389999986,1.1900000572,1,40.5,59.299999237,41.900001526,33.599998474,1
89,-1.279999971,-1.049999952,0.3300000131,57.400001526,43.700000763,57.799999237,60.700000763,0
90,-0.649999976,-1.169999957,0,36.299999237,30.700000763,45.900001526,36.299999237,1
91,-0.400000006,-0.469999999,1,54.799999237,59.299999237,51.799999237,41.700000763,1
92,0.0599999987,-0.289999992,0.6700000167,49.5,56.700000763,68.099998474,49.799999237,1
93,0.5500000119,0.8999999762,1,62.700000763,61.900001526,59.599998474,60.700000763,1
94,-0.349999994,-0.889999986,0,49.5,67.099998474,66.400001526,66.099998474,1
95,0.3000000119,-1.090000033,0,51.099998474,56.700000763,55.299999237,47.700000763,1
96,-0.930000007,0.6499999762,1,47.400001526,45.599998474,49.400001526,42.299999237,1
97,1.1599999666,-0.720000029,0.6700000167,56.900001526,64.5,72.199996948,54.200000763,1
98,0,0.150000006,0.3300000131,73.300003052,64.5,75.5,60.700000763,0
99,0.5199999809,0.3400000036,1,52.099998474,54.099998474,51.400001526,49.799999237,0
100,0.4199999869,-0.469999999,0.3300000131,73.300003052,61.200000763,57.400001526,54.700000763,1
101,-0.670000017,-0.469999999,0,44.200000763,48.900001526,43.099998474,55.299999237,0
102,0.4499999881,0.6499999762,1,57.400001526,56.700000763,46.900001526,52.599998474,1
103,0.0599999987,0.3199999928,0,60.099998474,54.099998474,49.900001526,49.799999237,1
104,0.2599999905,0.8799999952,1,65.400001526,59.299999237,62.299999237,60.700000763,0
105,0.4600000083,0.3400000036,1,57.400001526,54.099998474,59.599998474,60.700000763,1
106,-0.889999986,-1.230000019,1,44.200000763,48.900001526,43.799999237,35.200000763,1
107,0.5699999928,-2.619999886,0,38.900001526,28.100000381,38.400001526,44.400001526,1
108,0.2599999905,0.9399999976,0,54.799999237,38.5,46.799999237,36.299999237,1
109,0.3100000024,1.1900000572,1,40.5,46.900001526,40.400001526,39,1
110,0.9300000072,-1.629999995,0.6700000167,38.900001526,41.099998474,40.299999237,34.099998474,0
111,0.6800000072,0.9399999976,1,62.700000763,52.099998474,66.099998474,68.800003052,0
112,0.0299999993,0.3199999928,1,44.700000763,56.700000763,50.299999237,30.899999619,0
113,-0.029999999,0.8700000048,1,53.200000763,46.299999237,43,41.700000763,0
114,0.2399999946,-0.349999994,1,30.5,35.900001526,36.900001526,33.599998474,0
115,1.1399999857,1.1900000572,1,65.900001526,67.099998474,67.099998474,60.700000763,1
116,0.2700000107,0.3400000036,1,49.5,48.900001526,48,41.700000763,1
117,-1.340000033,1.1900000572,1,44.200000763,41.099998474,44.200000763,44.400001526,1
118,0.4499999881,-0.910000026,0.3300000131,41.599998474,41.099998474,42.799999237,49.799999237,0
119,0.2800000012,1.1900000572,1,56.400001526,59.299999237,38.5,55.299999237,1
120,-1.330000043,-0.25999999,0.6700000167,38.400001526,37.200000763,33.400001526,30.899999619,1
121,0.4900000095,0.9399999976,1,49.5,39.799999237,44.5,55.299999237,0
122,0.1000000015,0.3199999928,0.6700000167,40,40.400001526,42.400001526,48.799999237,1
123,1.1100000143,-1.049999952,0.3300000131,70.699996948,67.099998474,63,63.400001526,1
124,0.2199999988,-0.75999999,0.6700000167,45.799999237,52.099998474,54.900001526,44.400001526,1
125,0.75,-0.720000029,0.6700000167,42.599998474,46.299999237,41.200000763,28.200000763,1
126,0.8899999857,0.150000006,0.6700000167,68,59.299999237,56.599998474,50.400001526,0
127,-0.49000001,0.0299999993,0,46.900001526,37.200000763,42.799999237,41.700000763,1
128,0.4900000095,0.4399999976,0.6700000167,53.700000763,43.700000763,51.099998474,52,0
129,-0.379999995,0.3400000036,0.6700000167,38.900001526,28.100000381,35.299999237,39,0
130,-0.600000024,0.8999999762,0.6700000167,46.900001526,61.900001526,45.400001526,33.599998474,1
131,1.3600000143,0.6499999762,0.6700000167,59,56.700000763,52.900001526,48.799999237,1
132,-0.239999995,-0.159999996,0.3300000131,62.700000763,61.900001526,52.400001526,47.099998474,1
133,-0.230000004,0.4399999976,0.3300000131,33.599998474,35.200000763,40.900001526,29.299999237,1
134,0.5099999905,-1.289999962,0.3300000131,39.400001526,41.700000763,46.900001526,35.200000763,1
135,-0.600000024,-1.429999948,1,38.900001526,51.5,38.599998474,39,0
136,0.0599999987,0.9399999976,0.6700000167,45.299999237,54.700000763,44.299999237,33.599998474,1
137,-0.370000005,-1.899999976,0.6700000167,54.799999237,36.5,37.700000763,49.799999237,0
138,0.4600000083,0.9399999976,0.3300000131,36.299999237,30.700000763,44.799999237,39.599998474,0
139,0.4399999976,0.6499999762,1,46.900001526,46.299999237,48.5,32.5,1
140,0.1000000015,1.1900000572,1,38.900001526,35.900001526,46.799999237,39,1
141,-2.230000019,1.1900000572,1,36.299999237,38.5,39.299999237,39,0
142,1.1299999952,0.8700000048,1,57.400001526,54.700000763,51.700000763,49.799999237,0
143,0.2599999905,1.1900000572,1,52.099998474,52.799999237,37.599998474,52.599998474,0
144,-0.039999999,-0.289999992,0.6700000167,41.599998474,38.5,40.200000763,33.599998474,1
145,0.6899999976,0.0299999993,0.6700000167,49.5,39.799999237,38.599998474,49.299999237,0
146,-1.75999999,-0.930000007,0.6700000167,36.299999237,38.5,36.400001526,36.299999237,1
147,-0.660000026,-0.079999998,1,44.700000763,33.299999237,33.700000763,39,0
148,-0.439999998,-0.310000002,0.6700000167,49.5,59.299999237,42.099998474,52.599998474,0
149,1.1599999666,1.1900000572,0.3300000131,55.299999237,46.900001526,49.099998474,54.200000763,0
150,0.9100000262,-0.280000001,1,60.099998474,67.099998474,56.200000763,37.400001526,1
151,0.75,-0.25999999,0.6700000167,41.599998474,35.900001526,42,31.399999619,1
152,-1.139999986,-0.059999999,1,36.299999237,46.299999237,36.900001526,41.700000763,0
153,0.4600000083,0.0299999993,1,52.099998474,56.700000763,62.799999237,47.099998474,1
154,0.4499999881,0.0299999993,1,49.5,46.299999237,52.900001526,52.599998474,1
155,-0.540000021,-0.589999974,1,38.900001526,35.900001526,38.400001526,33.599998474,1
156,-0.419999987,-0.600000024,1,54.799999237,56.700000763,64.699996948,58,0
157,-0.379999995,0.5600000024,1,33.599998474,36.5,45.700000763,39,0
158,1.1599999666,0.5899999738,1,36.299999237,45,44.299999237,39,1
159,-0.680000007,0.3199999928,0.6700000167,36.299999237,44.299999237,34.400001526,47.099998474,0
160,0.6999999881,0.8700000048,1,46.900001526,54.099998474,46.400001526,49.799999237,1
161,0.4799999893,0.6299999952,1,54.799999237,48.200000763,58.700000763,51.5,1
162,-0.400000006,-1.799999952,0.3300000131,50,45,42.900001526,41.700000763,1
163,0.6600000262,0,1,52.099998474,48.900001526,48.5,44.400001526,1
164,0.0599999987,0.0299999993,1,62.700000763,64.5,71.300003052,55.299999237,0
165,0.4600000083,-1.169999957,0.3300000131,46.900001526,30.700000763,40.299999237,58,0
166,-0.400000006,0.8799999952,0.3300000131,54.799999237,45,45.900001526,58,0
167,0.0599999987,0.0299999993,0.6700000167,54.799999237,54.099998474,47.099998474,49.799999237,1
168,-0.689999998,-1.129999995,0.6700000167,46.900001526,54.099998474,45.400001526,44.400001526,1
169,1.1599999666,1.1900000572,1,70.699996948,64.5,72.199996948,66.099998474,1
170,0.3000000119,-0.589999974,1,54.799999237,46.299999237,45.5,58,0
171,0.0799999982,0.5899999738,1,57.400001526,56.700000763,53.900001526,60.700000763,1
172,-1.299999952,0.0299999993,1,54.799999237,41.099998474,40.200000763,44.400001526,0
173,-0.610000014,0.0299999993,0.3300000131,44.200000763,54.099998474,40.299999237,52.599998474,1
174,-0.159999996,0.6499999762,1,68,61.900001526,69.699996948,71.5,0
175,1.1599999666,0.6499999762,1,65.400001526,67.099998474,63.099998474,55.299999237,1
176,0.9100000262,0.6499999762,0.3300000131,54.799999237,48.900001526,41.900001526,52.599998474,1
177,0.6800000072,0.0299999993,0.6700000167,71.199996948,63.200000763,60.200000763,65.5,0
178,0.0599999987,-0.289999992,0.6700000167,57.400001526,64.5,51.099998474,63.400001526,0
179,1.1599999666,0.0299999993,1,70.699996948,67.099998474,61.200000763,60.700000763,1
180,-0.589999974,0.0299999993,0.3300000131,33.599998474,54.099998474,41,41.700000763,1
181,1.1299999952,0.8700000048,1,76,62.5,60,67.199996948,1
182,0.4199999869,0.5600000024,0.6700000167,70.699996948,56,62,67.699996948,0
183,1.1599999666,0.6299999952,0.6700000167,58.5,54.099998474,46.299999237,48.200000763,1
184,1.1599999666,-0.810000002,0.6700000167,65.400001526,64.5,48,63.400001526,0
185,0.4499999881,0.5600000024,1,52.099998474,43.700000763,41.900001526,47.099998474,1
186,-0.159999996,-0.529999971,0.6700000167,62.700000763,61.900001526,67,66.099998474,0
187,0.6800000072,-0.600000024,0.3300000131,52.099998474,64.5,59.700000763,55.799999237,1
188,0.0599999987,0.0299999993,1,41.599998474,54.099998474,41.200000763,41.700000763,1
189,1.1100000143,0.8999999762,0.3300000131,62.700000763,64.5,61.400001526,58,1
190,-0.409999996,0.0299999993,0.6700000167,49.5,51.5,45.099998474,58,1
191,0.4900000095,0.9399999976,1,54.799999237,56.700000763,63.799999237,60.700000763,0
192,0.6700000167,0.0299999993,0.6700000167,52.099998474,56.700000763,51.099998474,55.299999237,1
193,0.5099999905,0.0299999993,1,54.799999237,54.099998474,66.400001526,41.700000763,1
194,-0.839999974,0.3400000036,0,41.599998474,46.299999237,59.599998474,63.400001526,0
195,0.2700000107,0.0299999993,1,60.099998474,51.5,48.099998474,52.599998474,0
196,0.0599999987,0.0299999993,1,68,61.900001526,55.5,49.799999237,1
197,-1.149999976,-1.379999995,1,49.5,56.700000763,46.099998474,53.599998474,1
198,0.6600000262,-0.469999999,0.6700000167,54.799999237,59.299999237,50.599998474,60.700000763,1
199,-0.819999993,0.6299999952,1,36.799999237,36.5,41.5,33.099998474,0
200,-0.270000011,0.8799999952,1,52.099998474,64.5,60.599998474,60.700000763,0
201,0.3100000024,0.6299999952,1,38.900001526,56.700000763,46.299999237,58,1
202,1.1299999952,-0.600000024,0.6700000167,73.300003052,67.099998474,71.300003052,63.400001526,0
203,-0.439999998,-0.779999971,1,58,48.900001526,43.799999237,44.400001526,1
204,0.4399999976,0.0299999993,1,55.299999237,51.5,48,58,1
205,-0.899999976,-2.539999962,0,44.200000763,43.700000763,40.200000763,39.599998474,1
206,-0.180000007,0.2800000012,0.3300000131,44.200000763,51.5,46.099998474,47.099998474,1
207,1.1100000143,0.8999999762,0.3300000131,55.299999237,50.200000763,41.700000763,58.5,1
208,0.0500000007,-0.600000024,0,57.400001526,51.5,40.599998474,46.599998474,0
209,-0.629999995,0.4399999976,0.3300000131,41.599998474,43.700000763,46.799999237,36.299999237,1
210,0.0599999987,0.0299999993,1,54.799999237,59.299999237,46.200000763,47.099998474,1
211,0.7099999785,-0.289999992,0.6700000167,57.400001526,61.900001526,55.5,58,1
212,0.2599999905,0.0299999993,1,57.400001526,51.5,55.299999237,60.700000763,0
213,0.0399999991,-0.469999999,0.6700000167,33.599998474,59.299999237,44.700000763,47.099998474,1
214,-1.809999943,-0.639999986,1,41.599998474,54.099998474,46.900001526,47.099998474,1
215,-0.400000006,-0.219999999,0.6700000167,52.099998474,38.5,36.099998474,44.400001526,1
216,0.6800000072,0.0299999993,1,65.400001526,67.099998474,64.5,60.700000763,1
217,0,-0.419999987,0.6700000167,49.5,51.5,52.900001526,39,1
218,0.4600000083,0.0299999993,1,57.400001526,67.099998474,47.700000763,55.799999237,1
219,0.1000000015,0.0299999993,0.3300000131,49.5,56.700000763,48,47.099998474,1
220,0.6600000262,0.3400000036,1,56.900001526,49.5,49.5,50.900001526,1
221,-0.360000014,-1.669999957,1,44.200000763,43.700000763,56.400001526,58,0
222,0.9300000072,0.3400000036,1,46.900001526,54.099998474,54.599998474,55.299999237,0
223,0.4799999893,0.0299999993,1,60.099998474,46.299999237,51.400001526,52.599998474,0
224,-1.149999976,-0.469999999,0.6700000167,44.200000763,56.700000763,52.200000763,44.400001526,1
225,0.8899999857,0.5899999738,0.6700000167,60.599998474,56.700000763,70.5,58,0
226,0.4900000095,1.1900000572,1,46.900001526,51.5,50.599998474,49.799999237,0
227,0.4399999976,0.6499999762,1,52.099998474,54.099998474,54.599998474,41.700000763,0
228,0,-0.819999993,0.6700000167,54.799999237,67.099998474,63.799999237,49.799999237,1
229,0.9100000262,0.0299999993,1,60.599998474,59.299999237,49.400001526,44.400001526,1
230,-0.200000003,1.1900000572,1,41.599998474,46.900001526,41.700000763,47.099998474,1
231,0,-1.090000033,0.6700000167,62.700000763,51.5,45.900001526,47.099998474,1
232,0.200000003,-0.469999999,0.3300000131,38.900001526,54.099998474,53.700000763,52.599998474,1
233,0.0599999987,0.0299999993,0.6700000167,62.700000763,61.900001526,58.799999237,60.700000763,1
234,0.9599999785,0.8700000048,1,57.400001526,64.5,48,47.099998474,1
235,0.200000003,-0.550000012,0.6700000167,60.099998474,61.900001526,48.700000763,49.799999237,1
236,0.0799999982,0.9399999976,0.6700000167,73.300003052,61.900001526,60.5,71.5,0
237,1.3600000143,-0.800000012,0.6700000167,52.099998474,59.299999237,59.599998474,59.099998474,0
238,0.4600000083,0.9399999976,1,65.400001526,61.900001526,67.900001526,66.099998474,0
239,-0.839999974,-0.180000007,0,33.599998474,46.299999237,38.400001526,36.299999237,1
240,0.4600000083,0.0299999993,0.6700000167,62.700000763,54.099998474,54.799999237,55.299999237,0
241,0.4799999893,0.6899999976,0.6700000167,62.700000763,43,58.900001526,65,0
242,0.75,1.1900000572,1,68,61.900001526,52.200000763,60.700000763,0
243,-0.400000006,0.0299999993,0,54.799999237,49.5,55.299999237,47.099998474,1
244,0.7099999785,0.3400000036,0.6700000167,68,61.900001526,64.5,68.800003052,1
245,0.4600000083,0.3400000036,0.6700000167,62.200000763,56.700000763,51.900001526,54.700000763,0
246,0.4300000072,-0.469999999,1,42.599998474,50.799999237,44.599998474,39,1
247,0.4600000083,-0.469999999,0,49.5,61.900001526,41.400001526,55.299999237,1
248,-0.49000001,0.0299999993,0.3300000131,65.400001526,59.299999237,56.799999237,66.099998474,0
249,-1.559999943,0.0299999993,0.3300000131,62.700000763,54.099998474,53,55.299999237,1
250,-0.170000002,-0.839999974,0.6700000167,62.700000763,56.700000763,54.299999237,58,0
251,0.6600000262,0.3400000036,1,60.099998474,51.5,53,63.400001526,0
252,0.4799999893,0.3199999928,1,49.5,54.099998474,38.700000763,49.799999237,1
253,-0.140000001,-0.239999995,0.6700000167,54.799999237,38.5,57,52.599998474,0
254,0.4799999893,-0.469999999,0.3300000131,52.099998474,61.900001526,55.5,60.700000763,1
255,-1.129999995,-0.550000012,0.3300000131,44.200000763,46.900001526,45.5,39,0
256,0.0599999987,0.0299999993,0,44.200000763,33.299999237,53.900001526,58,0
257,0.200000003,-0.469999999,0.3300000131,38.900001526,38.5,53,52.599998474,0
258,-0.639999986,-0.50999999,0.6700000167,49.5,56.700000763,47.700000763,44.400001526,1
259,0.2300000042,0.4399999976,1,49.5,51.5,45.5,49.799999237,1
260,0.1000000015,1.1900000572,1,52.099998474,56.700000763,62.299999237,66.099998474,1
261,0.2800000012,0.0299999993,1,54.799999237,59.299999237,49.5,63.400001526,0
262,0.5199999809,0.5899999738,1,68,59.900001526,64,68.800003052,1
263,0.4600000083,0.0299999993,0.6700000167,54.799999237,64.5,58.599998474,55.299999237,0
264,-0.800000012,0.150000006,0.3300000131,41.599998474,41.099998474,39.5,47.099998474,1
265,-1.330000043,-0.600000024,0.3300000131,34.700000763,35.200000763,40.200000763,50.900001526,1
266,-1.330000043,0.3400000036,0,44.200000763,41.099998474,36.900001526,41.700000763,1
267,0.6800000072,0.3400000036,1,57.400001526,56.700000763,62.799999237,58,0
268,0.4600000083,-0.550000012,0.3300000131,41.599998474,54.099998474,50.299999237,49.799999237,1
269,-0.439999998,-0.219999999,0,44.200000763,33.299999237,40.900001526,47.099998474,0
270,0.2300000042,-0.75999999,1,65.400001526,64.5,59.599998474,66.099998474,1
271,0.2899999917,0.0299999993,1,49.5,48.900001526,56.200000763,47.099998474,1
272,0.4600000083,0.0299999993,0.6700000167,52.099998474,56.700000763,53,47.099998474,1
273,0.4600000083,0.0299999993,0.3300000131,44.700000763,38.5,45.900001526,44.400001526,1
274,0.3300000131,-0.25999999,1,52.099998474,67.099998474,57,63.400001526,1
275,-0.439999998,-0.469999999,1,54.799999237,65.099998474,66.099998474,49.799999237,1
276,-1.049999952,-0.340000004,0.6700000167,44.200000763,38.5,41.400001526,42.299999237,0
277,1.1100000143,0.3400000036,1,73.300003052,67.099998474,62.299999237,58,1
278,0.4600000083,-0.180000007,1,52.099998474,46.299999237,48.299999237,58,0
279,0.0799999982,0.9399999976,0.3300000131,49.5,52.799999237,50.599998474,48.799999237,0
280,0.3100000024,0.0299999993,1,54.799999237,48.900001526,61.200000763,60.700000763,0
281,-0.180000007,0.0299999993,0.6700000167,44.200000763,48.900001526,56.299999237,41.700000763,0
282,0.7099999785,-0.050000001,0.6700000167,52.700000763,47.599998474,52.200000763,45,1
283,0.0199999996,0.1299999952,0.3300000131,73.300003052,59.900001526,70.5,60.700000763,0
284,1.3600000143,1.1900000572,1,65.400001526,48.900001526,66.300003052,58,0
285,0,0.0299999993,0.6700000167,61.099998474,61.200000763,62.200000763,57.400001526,1
286,0.5199999809,0.3400000036,1,65.400001526,54.099998474,61.400001526,58,1
287,0.6600000262,0.3400000036,0.6700000167,54.799999237,56.700000763,61.900001526,63.400001526,1
288,0.25,0.6499999762,0,49.5,48.900001526,50.400001526,63.400001526,0
289,-0.379999995,0.0299999993,1,60.099998474,54.099998474,58,58,0
290,0.4600000083,-1.110000014,0.3300000131,65.400001526,67.099998474,67,66.099998474,1
291,0.2300000042,0.0299999993,1,65.400001526,56.700000763,65.400001526,58,1
292,-1.090000033,-0.899999976,0.6700000167,57.400001526,59.900001526,50.5,52.599998474,1
293,0.7099999785,-0.550000012,1,60.099998474,59.299999237,64.300003052,60.700000763,1
294,-0.819999993,-0.75999999,0,57.400001526,43.700000763,59.599998474,52.599998474,0
295,1.3600000143,0.0299999993,0.6700000167,46.900001526,59.299999237,56.299999237,66.099998474,1
296,-0.140000001,-0.860000014,0,38.900001526,46.299999237,50.099998474,36.299999237,1
297,0.4600000083,1.1900000572,0.6700000167,65.900001526,64.5,61.799999237,60.700000763,1
298,0.0599999987,0.3199999928,1,62.700000763,64.5,70.5,68.800003052,1
299,-0.50999999,-1.980000019,0,60.099998474,57.299999237,58.799999237,58,0
300,0.6800000072,0.0299999993,0.3300000131,73.300003052,64.5,64,60.700000763,0
